name,sex,tot
Bettye,F,20805
Beulah,F,51234
Beverley,F,9854
Beverly,F,373672
Bianca,F,68885
Bill,M,154279
Billie,F,96166
Billie,M,27613
Billy,M,379233
Birdie,F,5359
Blaine,M,25598
Blair,F,10908
Blair,M,9263
Blake,F,6068
Blake,M,167214
Blanca,F,22048
Blanche,F,55136
Bo,M,7068
Bob,M,88260
Bobbi,F,19967
Bobbie,M,15043
Bobbie,F,83800
Bobby,F,6429
Bobby,M,310236
Bonita,F,33851
Bonnie,F,317022
Booker,M,7408
Boston,M,5175
Boyd,M,20887
Brad,M,80108
Braden,M,41387
Bradford,M,26602
Bradley,M,299994
Bradly,M,5798
Brady,M,81928
Braeden,M,11666
Braelyn,F,6631
Braiden,M,5546
Branden,M,24881
Brandi,F,99826
Brandie,F,13666
Brandon,M,748708
Brandy,F,104252
Brant,M,5227
Brantley,M,17590
Braxton,M,39871
Brayan,M,12866
Brayden,M,107780
Braydon,M,11600
Braylen,M,7626
Braylon,M,13757
Breana,F,9362
Breanna,F,79874
Breanne,F,8144
Bree,F,5540
Brenda,F,604527
Brendan,M,86399
Brenden,M,22727
Brendon,M,16700
Brenna,F,25422
Brennan,M,28444
Brennen,M,6582
Brent,M,136107
Brenton,M,10629
Bret,M,26701
Brett,M,155602
Bria,F,12040
Brian,M,1160905
Briana,F,90604
Brianna,F,247079
Brianne,F,18290
Brice,M,10259
Bridget,F,84691
Bridgett,F,10190
Bridgette,F,20087
Briella,F,5455
Brielle,F,26184
Brigitte,F,5601
Brinley,F,5806
Brisa,F,6537
Britney,F,32790
Brittani,F,10347
Brittany,F,356706
Brittney,F,80403
Brock,M,37333
Broderick,M,5317
Brodie,M,6628
Brody,M,61955
Bronson,M,5165
Brook,F,7260
Brooke,F,185707
Brooklyn,F,91261
Brooklynn,F,27740
Brooks,M,17920
Bruce,M,377807
Bruno,M,11908
Bryan,M,374653
Bryanna,F,16805
Bryant,M,44636
Bryce,M,105999
Brycen,M,8897
Brylee,F,7343
Brynlee,F,8835
Brynn,F,19669
Bryon,M,10773
Bryson,M,52044
Buddy,M,17925
Buford,M,8090
Burton,M,15936
Byron,M,74536
Cade,M,24071
Caden,M,56527
Cadence,F,17707
Caiden,M,15797
Caitlin,F,109893
Caitlyn,F,50393
Cale,M,5291
Caleb,M,266640
Cali,F,13226
Callie,F,45917
Calvin,M,192000
Camden,M,37857
Cameron,M,263482
Cameron,F,24042
Camila,F,54331
Camilla,F,14454
Camille,F,59634
Camron,M,11831
Camryn,F,23644
Candace,F,81751
Candice,F,64871
Candy,F,25028
Cannon,M,5284
Cara,F,47306
Caren,F,6474
Carey,M,12245
Carey,F,9195
Cari,F,9842
Carina,F,12251
Carissa,F,25404
Carl,M,478062
Carla,F,145021
Carlee,F,9045
Carlene,F,10257
Carley,F,13646
Carli,F,5983
Carlie,F,11317
Carlo,M,10588
Carlos,M,279064
Carlton,M,43578
Carly,F,61164
Carmela,F,18355
Carmella,F,14724
Carmelo,M,7670
Carmen,M,13518
Carmen,F,131300
Carmine,M,10586
Carol,F,812247
Carol,M,5343
Carole,F,107422
Carolina,F,36761
Caroline,F,205577
Carolyn,F,548663
Carrie,F,222842
Carroll,M,30824
Carson,M,93249
Carter,M,134537
Cary,M,19844
Caryn,F,9155
Casandra,F,12451
Casey,M,106691
Casey,F,73756
Cash,M,14787
Cason,M,6545
Cassandra,F,164721
Cassidy,F,52950
Cassie,F,39026
Catalina,F,14411
Catharine,F,5729
Catherine,F,611316
Cathleen,F,25268
Cathryn,F,9756
Cathy,F,167372
Catrina,F,7469
Cayden,M,29784
Cayla,F,8716
Caylee,F,6750
Cecelia,F,45260
Cecil,M,96243
Cecile,F,12914
Cecilia,F,84796
Cedric,M,35887
Celeste,F,50522
Celestine,F,5495
Celia,F,42045
Celina,F,10435
Celine,F,7217
Cesar,M,68396
Chad,M,237358
Chadwick,M,10343
Chaim,M,7616
Chana,F,8866
Chance,M,43341
Chandler,M,29118
Chandler,F,6369
Chandra,F,14617
Chanel,F,13921
Chantal,F,5595
Chantel,F,12136
Charity,F,29178
Charlee,F,8012
Charlene,F,129406
Charles,F,7520
Charles,M,2259093
Charley,M,12686
Charlie,F,17288
Charlie,M,140101
Charlotte,F,320147
Charmaine,F,11611
Chase,M,153622
Chasity,F,22047
Chastity,F,7617
Chaya,F,10132
Chaz,M,7264
Chelsea,F,157108
Chelsey,F,29480
Chelsie,F,11795
Cheri,F,33389
Cherie,F,26220
Cherish,F,6917
Cherry,F,7186
Cheryl,F,436790
Chester,M,107400
Cheyanne,F,13039
Cheyenne,F,64560
Chloe,F,191670
Chris,F,20062
Chris,M,138490
Christa,F,29245
Christal,F,6598
Christen,F,8632
Christi,F,18291
Christian,M,403781
Christian,F,16741
Christiana,F,6768
Christie,F,42271
Christin,F,8596
Christina,F,468970
Christine,F,574809
Christopher,M,2010267
Christopher,F,6773
Christy,F,95410
Chrystal,F,11881
Chuck,M,14615
Ciara,F,31654
Ciera,F,9718
Cierra,F,25808
Cindi,F,5229
Cindy,F,253620
Clair,M,8873
Claire,F,170840
Clara,F,204422
Clare,F,22612
Clarence,M,265406
Clarice,F,18490
Clarissa,F,32622
Clark,M,37542
Claud,M,6203
Claude,M,76485
Claudette,F,15588
Claudia,F,119918
Claudine,F,7259
Clay,M,31220
Clayton,M,123548
Clement,M,8169
Cleo,F,22493
Cleo,M,7442
Cleveland,M,16750
Clifford,M,176194
Clifton,M,62715
Clint,M,27212
Clinton,M,90774
Clyde,M,127038
Coby,M,5784
Cody,M,279123
Cohen,M,10585
Colby,M,47567
Cole,M,126737
Coleen,F,8273
Coleman,M,10702
Colette,F,16988
Colin,M,119072
Colleen,F,159040
Collin,M,71722
Colt,M,12529
Colten,M,12464
Colton,M,110046
Concetta,F,11617
Conner,M,49797
